18732	
	(0.9999566354,-0.00931274832)	(-0.4728047469,0.881167221)	(0.9896323173,-0.143624081)	(0.1358230304,0.9907331146)	(0.1309006306,0.9913954937)
	(0.8939460759,0.4481745345)	(0.5337451708,-0.8456453705)	(-0.7653694319,-0.6435912)	(-0.9030490761,-0.4295373862)	(0.6041119188,-0.7968994852)
	(0.297665195,0.9546703262)	(-0.3470224635,0.9378568174)	(0.4139763996,-0.9102876142)	(-0.6342944161,0.7730915817)	(-0.7619295032,-0.6476599665)
	(-0.9918675974,0.1272739924)	(0.5540203527,0.8325031224)	(0.5478309385,0.8365890645)	(0.4546428407,-0.890673839)	(-0.4478540721,0.894106666)
	(-0.0650754987,-0.9978803433)	(0.7143857037,0.6997521464)	(-0.996181976,-0.08730103545)	(0.9561896212,-0.2927480288)	(-1,9.21157226e-14)
	(-1,9.21157226e-14)	(-1,9.21157226e-14)	(-1,9.21157226e-14)	(-1,9.21157226e-14)	(-1,9.21157226e-14)
	(-1,9.21157226e-14)	(-1,9.21157226e-14)	(-1,9.21157226e-14)	(-1,9.21157226e-14)	(-1,9.21157226e-14)
	(-1,9.21157226e-14)	(-1,9.21157226e-14)	(-1,9.21157226e-14)	(-1,9.21157226e-14)	(-1,9.21157226e-14)
	(-1,9.21157226e-14)	(-1,9.21157226e-14)	(-1,9.21157226e-14)	(-1,9.21157226e-14)	(-1,9.21157226e-14)
	(-1,9.21157226e-14)	(-1,9.21157226e-14)	(-1,9.21157226e-14)	(-1,9.21157226e-14)	(-1,9.21157226e-14)
	(-1,9.21157226e-14)	(-1,9.21157226e-14)	(-1,9.21157226e-14)	(-1,9.21157226e-14)	(-1,9.21157226e-14)
	(-1,9.21157226e-14)	(-1,9.21157226e-14)	(-0.7071068144,-0.707106748)	(8.579484085e-08,-1)	(0.707106826,-0.7071067363)
	(1,1.193036634e-08)	(0.7071067019,0.7071068605)	(-2.746310001e-07,1)	(-0.7071069213,0.7071066411)	(-1,1.659670927e-10)
	(-1,3.155672096e-10)	(-1,5.500913943e-10)	(-1,6.990093901e-10)	(-1,5.073216202e-10)	(-1,3.836185792e-10)
	(-1,1.239460803e-10)	(0.9396926208,-0.3420201433)	(-0.7660444432,0.6427876096)	(0.5000000002,-0.8660254037)	(-0.1736481779,0.984807753)
	(-0.1736481774,-0.9848077531)	(0.4999999998,0.8660254039)	(-0.766044443,-0.6427876098)	(0.9396926208,0.3420201434)	(-1,-2.039816388e-10)
	(-1,-4.145179007e-10)	(-1,-5.615032203e-10)	(-1,-3.968729177e-10)	(-1,-1.472617039e-10)	(0.9649122921,0.2625724062)
	(0.9871146105,-0.1600148296)	(0.6178156297,0.7863229919)	(-0.945153039,0.32662782)	(0.3215511621,-0.9468922062)	(0.6579483962,0.7530630173)
	(-0.6899298363,0.723876247)	(-0.8640693471,0.5033727877)	(0.6264663913,0.7794484336)	(-0.5687595381,0.8225038528)	(-0.5518158808,-0.8339659668)
	(-0.7074926697,0.7067206819)	(-0.7074956853,-0.706717663)	(-0.551813527,0.8339675242)	(-0.5687612231,-0.8225026876)	(0.6264651191,-0.779449456)
	(-0.8640700185,-0.5033716351)	(-0.6899306258,-0.7238754946)	(0.6579477285,-0.7530636006)	(0.3215518444,0.9468919745)	(-0.9451532215,-0.3266272921)
	(0.6178153265,-0.7863232302)	(0.9871146501,0.1600145854)	(0.9649122578,-0.2625725324)	(-1,-1.206413292e-10)	(-1,-2.709235671e-10)
	(-1,-4.474674645e-10)	(-1,-6.533425661e-10)	(-1,-8.456889339e-10)	(-1,-8.2419036e-10)	(-1,-6.320478427e-10)
	(-1,-4.032981637e-10)	(-1,-2.33097206e-10)	(-1,-6.528367199e-11)	(0.9396926208,0.3420201433)	(-0.7660444432,-0.6427876096)
	(0.5000000002,0.8660254037)	(-0.1736481779,-0.984807753)	(-0.1736481774,0.9848077531)	(0.4999999998,-0.8660254039)	(-0.766044443,0.6427876098)
	(0.9396926208,-0.3420201434)	(-1,1.138279765e-10)	(-1,1.589498895e-10)	(-1,3.928773447e-15)	(-1,3.928773447e-15)
	(-1,3.928773447e-15)	(-1,3.928773447e-15)	(-1,3.928773447e-15)	(-1,3.928773447e-15)	(-1,3.928773447e-15)
	(-1,3.928773447e-15)	(-1,3.928773447e-15)	(-1,3.928773447e-15)	(-1,3.928773447e-15)	(-1,3.928773447e-15)
	(-1,3.928773447e-15)	(-1,3.928773447e-15)	(-1,3.928773447e-15)	(-1,3.928773447e-15)	(-1,3.928773447e-15)
	(-1,3.928773447e-15)	(-1,3.928773447e-15)	(-1,3.928773447e-15)	(-1,3.928773447e-15)	(-1,3.928773447e-15)
	(-1,3.928773447e-15)	(-1,3.928773447e-15)	(-1,3.928773447e-15)	(-1,3.928773447e-15)	(-1,3.928773447e-15)
